model,evaluation,displacement,direction,accuracy,macro_f1,mean_max_confidence,accuracy_change,prediction_consistency
clip_vit_b_32,zero_shot,8,left,0.976,0.975892073689306,0.9526475071907043,-0.0040000000000000036,0.986
clip_vit_b_32,linear_head,8,right,0.984,0.9839954449576126,0.30179908871650696,0.0,0.992
clip_vit_b_32,zero_shot,8,right,0.98,0.979758361528539,0.9508765339851379,0.0,0.984
clip_vit_b_32,linear_head,16,up,0.978,0.9780307971142485,0.29985132813453674,-0.006000000000000005,0.99
clip_vit_b_32,zero_shot,16,up,0.974,0.9739216888594988,0.9481184482574463,-0.006000000000000005,0.98
clip_vit_b_32,linear_head,16,down,0.982,0.9819993999399941,0.3000767230987549,-0.0020000000000000018,0.99
clip_vit_b_32,zero_shot,16,down,0.974,0.9738168139757256,0.9505813121795654,-0.006000000000000005,0.984
clip_vit_b_32,linear_head,16,left,0.972,0.971784611302283,0.297353059053421,-0.01200000000000001,0.98
clip_vit_b_32,zero_shot,16,left,0.976,0.9758031273715607,0.950870156288147,-0.0040000000000000036,0.984
clip_vit_b_32,linear_head,16,right,0.984,0.9840372150060144,0.29715028405189514,0.0,0.984
clip_vit_b_32,zero_shot,16,right,0.984,0.9838286196266687,0.9489436745643616,0.0040000000000000036,0.984
clip_vit_b_32,linear_head,32,up,0.972,0.971974924696427,0.2934512197971344,-0.01200000000000001,0.984
clip_vit_b_32,zero_shot,32,up,0.966,0.9660721470162119,0.9390779137611389,-0.014000000000000012,0.98
clip_vit_b_32,linear_head,32,down,0.972,0.9721742531293277,0.29307863116264343,-0.01200000000000001,0.988
clip_vit_b_32,zero_shot,32,down,0.966,0.9659922903965598,0.9433395266532898,-0.014000000000000012,0.986
clip_vit_b_32,linear_head,32,left,0.976,0.9760931939161169,0.29315435886383057,-0.008000000000000007,0.988
clip_vit_b_32,zero_shot,32,left,0.966,0.9657417387388033,0.9416071176528931,-0.014000000000000012,0.982
clip_vit_b_32,linear_head,32,right,0.978,0.977948614284149,0.2930964529514313,-0.006000000000000005,0.99
clip_vit_b_32,zero_shot,32,right,0.968,0.9677924932112678,0.9418461918830872,-0.01200000000000001,0.982
