model,intervention,image_identifier,cosine_stability
resnet50,grayscale,5590,0.8202152252197266
resnet50,grayscale,4463,0.8071962594985962
resnet50,grayscale,5318,0.7937647104263306
resnet50,grayscale,3515,0.8642509579658508
resnet50,grayscale,4642,0.7994871735572815
resnet50,grayscale,852,0.8674380779266357
resnet50,grayscale,1247,0.7008894681930542
resnet50,grayscale,7084,0.9739824533462524
resnet50,grayscale,5301,0.8742668628692627
resnet50,grayscale,5082,0.660382866859436
resnet50,grayscale,5077,0.7374253869056702
resnet50,grayscale,1563,0.7802578210830688
resnet50,grayscale,29,1.0000001192092896
resnet50,grayscale,3867,0.6653872132301331
resnet50,grayscale,4620,0.6185457706451416
resnet50,grayscale,4065,0.8668373227119446
resnet50,grayscale,1095,0.8026889562606812
resnet50,grayscale,4229,0.8703420162200928
resnet50,grayscale,3562,0.5497063994407654
resnet50,grayscale,2342,0.6384021639823914
resnet50,grayscale,1667,0.9999998211860657
resnet50,grayscale,7033,0.7718833088874817
resnet50,grayscale,1771,0.8746646046638489
resnet50,grayscale,3157,0.7520411014556885
resnet50,grayscale,3851,0.7971481084823608
resnet50,grayscale,1287,0.7612979412078857
resnet50,grayscale,7320,0.7763139009475708
resnet50,grayscale,7600,0.7281409502029419
resnet50,grayscale,3852,0.7892353534698486
resnet50,grayscale,269,0.7414793372154236
resnet50,grayscale,1703,0.537302553653717
resnet50,grayscale,7776,0.7204022407531738
resnet50,grayscale,3891,0.6501449346542358
resnet50,grayscale,7009,0.87664794921875
resnet50,grayscale,4893,0.9031355381011963
resnet50,grayscale,2351,0.8993406295776367
resnet50,grayscale,3550,0.8466528654098511
resnet50,grayscale,5719,0.8803431987762451
resnet50,grayscale,1884,0.6777532696723938
resnet50,grayscale,2898,0.797129213809967
resnet50,grayscale,4640,0.7086312770843506
resnet50,grayscale,7610,0.864233672618866
resnet50,grayscale,1833,0.8575202822685242
resnet50,grayscale,6455,0.8285858631134033
resnet50,grayscale,3893,0.8618497848510742
resnet50,grayscale,4731,0.6933911442756653
resnet50,grayscale,929,0.740448534488678
resnet50,grayscale,3962,0.8053485155105591
resnet50,grayscale,3778,0.8375166654586792
resnet50,grayscale,1429,0.7672935724258423
resnet50,grayscale,49,0.8355433344841003
resnet50,grayscale,276,0.8315932750701904
resnet50,grayscale,6076,0.9173725247383118
resnet50,grayscale,1389,0.9087706804275513
resnet50,grayscale,3362,0.8249759674072266
resnet50,grayscale,317,0.8453702926635742
resnet50,grayscale,4675,0.7874543070793152
resnet50,grayscale,5924,0.821868360042572
resnet50,grayscale,198,0.6744966506958008
resnet50,grayscale,7779,0.6372309327125549
resnet50,grayscale,4054,0.6398406028747559
resnet50,grayscale,5556,0.8584275245666504
resnet50,grayscale,2687,0.795885443687439
resnet50,grayscale,1202,0.7180972695350647
resnet50,grayscale,97,0.7252901196479797
resnet50,grayscale,6033,0.7469202280044556
resnet50,grayscale,1711,0.6705740094184875
resnet50,grayscale,1430,0.793943464756012
resnet50,grayscale,739,0.8469210863113403
resnet50,grayscale,3491,0.8104900121688843
resnet50,grayscale,1568,0.648231029510498
resnet50,grayscale,1211,0.6472220420837402
resnet50,grayscale,4913,0.7873654365539551
resnet50,grayscale,2502,0.8631737232208252
resnet50,grayscale,2539,0.8753548860549927
resnet50,grayscale,979,0.8687264323234558
resnet50,grayscale,6354,0.842989444732666
resnet50,grayscale,4735,0.8950687050819397
resnet50,grayscale,5912,0.8543495535850525
resnet50,grayscale,3844,0.6602427363395691
resnet50,grayscale,1263,0.7612779140472412
resnet50,grayscale,3404,0.8874226808547974
resnet50,grayscale,3905,0.8978450298309326
resnet50,grayscale,1596,0.7355139255523682
resnet50,grayscale,3083,0.6177635192871094
resnet50,grayscale,2003,0.6069725751876831
resnet50,grayscale,5030,0.8456276655197144
resnet50,grayscale,95,0.8785083293914795
resnet50,grayscale,2757,0.8022639751434326
resnet50,grayscale,3413,0.8343057632446289
resnet50,grayscale,5488,0.8530338406562805
resnet50,grayscale,4827,0.7147634625434875
resnet50,grayscale,1877,0.4610408544540405
resnet50,grayscale,2157,0.7788265943527222
resnet50,grayscale,4821,0.676875114440918
resnet50,grayscale,4953,0.7143310308456421
resnet50,grayscale,5525,0.8588955998420715
resnet50,grayscale,5381,0.7768964171409607
resnet50,grayscale,672,0.8171067237854004
resnet50,grayscale,323,0.9521437883377075
resnet50,grayscale,5436,0.8087080717086792
resnet50,grayscale,5450,0.8548762202262878
resnet50,grayscale,6358,0.7385508418083191
resnet50,grayscale,372,0.7302355766296387
resnet50,grayscale,378,0.7538226842880249
resnet50,grayscale,7706,0.7223750948905945
resnet50,grayscale,2178,0.867744505405426
resnet50,grayscale,5237,0.7723479866981506
resnet50,grayscale,5478,0.7039709687232971
resnet50,grayscale,5452,0.8839028477668762
resnet50,grayscale,5623,0.6417762041091919
resnet50,grayscale,6772,0.7054914236068726
resnet50,grayscale,1111,0.7100334763526917
resnet50,grayscale,5528,0.9185693860054016
resnet50,grayscale,3777,0.6809790134429932
resnet50,grayscale,2458,0.8762543201446533
resnet50,grayscale,4921,0.8530493974685669
resnet50,grayscale,3015,0.8556429743766785
resnet50,grayscale,7476,0.7770321369171143
resnet50,grayscale,1520,0.880004346370697
resnet50,grayscale,6713,0.848540186882019
resnet50,grayscale,1852,0.8307002782821655
resnet50,grayscale,2268,0.8163491487503052
resnet50,grayscale,151,0.6790814399719238
resnet50,grayscale,890,0.7885953783988953
resnet50,grayscale,825,0.8674601316452026
resnet50,grayscale,2536,0.7087236642837524
resnet50,grayscale,470,0.8291224241256714
resnet50,grayscale,5256,0.5357043743133545
resnet50,grayscale,2011,0.8833237886428833
resnet50,grayscale,7150,0.8928989171981812
resnet50,grayscale,449,0.8368064165115356
resnet50,grayscale,2704,0.8481101989746094
resnet50,grayscale,3437,0.7214308381080627
resnet50,grayscale,3375,0.7742152214050293
resnet50,grayscale,4552,0.8079550862312317
resnet50,grayscale,920,0.8180814981460571
resnet50,grayscale,2242,0.7397159337997437
resnet50,grayscale,2745,0.8130267262458801
resnet50,grayscale,1032,0.5131970047950745
resnet50,grayscale,365,0.7245526909828186
resnet50,grayscale,4850,0.8428475856781006
resnet50,grayscale,4819,0.8041507601737976
resnet50,grayscale,7338,0.7780417203903198
resnet50,grayscale,7372,0.9650536775588989
resnet50,grayscale,1090,0.8335397243499756
resnet50,grayscale,5062,0.8531473875045776
resnet50,grayscale,981,0.8954156041145325
resnet50,grayscale,5857,0.9140543937683105
resnet50,grayscale,1986,0.6136490106582642
resnet50,grayscale,5560,0.3801778256893158
resnet50,grayscale,1814,0.8572419285774231
resnet50,grayscale,194,0.8611645102500916
resnet50,grayscale,1993,0.7164459824562073
resnet50,grayscale,5333,0.8589169383049011
resnet50,grayscale,4311,0.7450643181800842
resnet50,grayscale,7425,0.9710485935211182
resnet50,grayscale,3889,0.8721169233322144
resnet50,grayscale,4308,0.7587992548942566
resnet50,grayscale,1960,0.71109938621521
resnet50,grayscale,4399,0.8920857310295105
resnet50,grayscale,3191,0.7512617707252502
resnet50,grayscale,1626,0.8465396165847778
